Gavin's Good Portfolio,16,-5879.66
GEDION,15,-2018.08
spr2412,41,-1674.6
buffetstudent,31,-1299.33
ykanabar,45,-369.36
tf54,43,-221.583846154
niktai,37,-6.57
Cridersis,8,195.61
EnterTheDragon,13,287.482110274
Endove,12,705.563589744
1625,1,827.459538462
Timurrad,26,1099.21476584
smart money,40,1221.15
SUMIT THE GREAT,25,1353.95
Attempt #2 - Humza,3,1388.74
Willhelm,29,1583.3
YorkshireFred,30,2083.44
Trader Portfolio,27,2304.92650943
Bazzabazza,5,2376.9
peptoabysmal,38,2645.78919616
Flush,14,2832.79
Praz,24,2848.705
Aussieeeeeeee,4,3282.38
Imperial Capital,20,3317.02
careful44,32,3365.07
dekisugi,33,3555.64
Breadwinner,6,3636.27
russell smith,39,3666.73
Vinamow,28,3670.75
CB77,7,3919.05
MannyAhsan,22,4509.71126763
!rex,0,4942.13598273
stuartrf,42,5035.89666667
gobblewobble,34,6844.81
Locus fund,21,7065.15400372
Elliot25,11,7099.135
Dennisthemenace_UK,9,7503.46
Harrystainton,18,8012.08
ALexus,2,8824.27971963
Dids,10,10268.9770498
tynetown,44,11104.7458527
Migstarine Godzilla,23,11818.52
mattmaxwell,36,12270.9802497
kinson,35,13172.32
IJB01,19,15030.4865969
HLInvestUK,17,16585.76
