0,0.814,0.78033,0.84463
1,0.979,0.96432,0.98888
2,0.713,0.67469,0.74925
3,0.607,0.56628,0.64669
4,0.702,0.66333,0.73871
5,0.896,0.86871,0.91942
6,0.578,0.53697,0.61827
7,0.587,0.54605,0.62711
8,1,0.99472,1
9,0,0,0.0052843
10,0.865,0.83492,0.89154
11,0.474,0.43303,0.51522
12,0.567,0.5259,0.60746
13,0.972,0.95564,0.98367
14,0.984,0.97072,0.9924
15,0.712,0.67365,0.7483
16,0.818,0.78457,0.84835
17,0.998,0.99076,0.9999
18,1,0.99472,1
19,0.958,0.93885,0.97263
20,0.045,0.029815,0.064673
21,0.903,0.87643,0.92564
22,0.698,0.65921,0.73487
23,1,0.99472,1
24,0.544,0.5028,0.58478
25,0.943,0.92141,0.96024
26,0.982,0.96814,0.99102
27,0.878,0.84902,0.9033
28,0.909,0.88308,0.93093
29,0.474,0.43303,0.51522
30,0.845,0.81338,0.87327
31,1,0.99472,1
32,0.545,0.5038,0.58577
33,0.765,0.72874,0.7987
34,0.757,0.72038,0.79114
35,0.631,0.59064,0.6701
36,0.982,0.96814,0.99102
37,0.649,0.60898,0.68758
38,0.694,0.65509,0.73103
39,0.668,0.6284,0.70598
40,0.219,0.18623,0.2545
41,0.953,0.93299,0.96855
42,0,0,0.0052843
43,0.947,0.92602,0.96358
44,0.983,0.96942,0.99172
45,0.046,0.030633,0.065844
