0 , 0.080 , 0.320 , 0.240 ,  0.360 , 25
1 , 0.200 , 0.080 , 0.360 ,  0.360 , 25
2 , 0.360 , 0.320 , 0.160 ,  0.160 , 25
3 , 0.091 , 0.273 , 0.227 ,  0.409 , 22
4 , 0.263 , 0.053 , 0.263 ,  0.421 , 19
5 , 0.120 , 0.280 , 0.280 ,  0.320 , 25
6 , 0.360 , 0.240 , 0.120 ,  0.280 , 25
7 , 0.120 , 0.400 , 0.320 ,  0.160 , 25
8 , 0.160 , 0.280 , 0.160 ,  0.400 , 25
9 , 0.333 , 0.111 , 0.333 ,  0.222 , 18
10 , 0.320 , 0.240 , 0.200 ,  0.240 , 25
11 , 0.080 , 0.280 , 0.320 ,  0.320 , 25
12 , 0.120 , 0.280 , 0.320 ,  0.280 , 25
13 , 0.000 , 0.000 , 0.000 ,  1.000 , 16
14 , 0.333 , 0.133 , 0.400 ,  0.133 , 15
15 , 0.190 , 0.048 , 0.238 ,  0.524 , 21
16 , 0.100 , 0.350 , 0.350 ,  0.200 , 20
17 , 0.200 , 0.000 , 0.120 ,  0.680 , 25
18 , 0.375 , 0.125 , 0.125 ,  0.375 , 16
19 , 0.040 , 0.240 , 0.440 ,  0.280 , 25
20 , 0.040 , 0.200 , 0.440 ,  0.320 , 25
21 , 0.200 , 0.240 , 0.320 ,  0.240 , 25
22 , 0.200 , 0.280 , 0.360 ,  0.160 , 25
23 , 0.000 , 0.188 , 0.562 ,  0.250 , 16
24 , 0.286 , 0.143 , 0.429 ,  0.143 , 21
25 , 0.200 , 0.240 , 0.240 ,  0.320 , 25
26 , 0.158 , 0.158 , 0.263 ,  0.421 , 19
27 , 0.160 , 0.160 , 0.080 ,  0.600 , 25
28 , 0.160 , 0.240 , 0.360 ,  0.240 , 25
29 , 0.067 , 0.200 , 0.333 ,  0.400 , 15
30 , 0.412 , 0.000 , 0.412 ,  0.176 , 17
31 , 0.455 , 0.136 , 0.182 ,  0.227 , 22
32 , 0.105 , 0.263 , 0.368 ,  0.263 , 19
33 , 0.200 , 0.120 , 0.400 ,  0.280 , 25
34 , 0.400 , 0.150 , 0.350 ,  0.100 , 20
35 , 0.120 , 0.040 , 0.240 ,  0.600 , 25
36 , 0.200 , 0.160 , 0.360 ,  0.280 , 25
37 , 0.200 , 0.200 , 0.333 ,  0.267 , 15
38 , 0.240 , 0.160 , 0.200 ,  0.400 , 25
39 , 0.278 , 0.222 , 0.333 ,  0.167 , 18
40 , 0.160 , 0.320 , 0.280 ,  0.240 , 25
41 , 0.059 , 0.294 , 0.235 ,  0.412 , 17
42 , 0.240 , 0.320 , 0.240 ,  0.200 , 25
43 , 0.261 , 0.087 , 0.391 ,  0.261 , 23
44 , 0.200 , 0.160 , 0.360 ,  0.280 , 25
45 , 0.360 , 0.120 , 0.120 ,  0.400 , 25
